iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |8.975         |9.025         |15.800625          |16.200625          |-2            |20            |22                 |1.995464853   
2     |3.4875        |3.5375        |2.28765625         |2.13890625         |-2            |9.025         |11.025             |1.990970655   
3     |6.23125       |6.28125       |1.515976563        |1.641601563        |3.4875        |9.025         |5.5375             |1.982102908   
4     |4.859375      |4.909375      |0.01977539062      |0.008212890625     |3.4875        |6.28125       |2.79375            |1.964835165   
5     |5.5453125     |5.5953125     |0.2973657227       |0.3543969727       |4.859375      |6.28125       |1.421875           |1.932059448   
6     |5.20234375    |5.25234375    |0.04094299316      |0.06367736816      |4.859375      |5.5953125     |0.7359375          |1.872763419   
7     |5.030859375   |5.080859375   |0.0009523010254    |0.006538238525     |4.859375      |5.25234375    |0.39296875         |1.774250441   
8     |4.945117188   |4.995117188   |0.003012123108     |2.384185791e-05    |4.859375      |5.080859375   |0.221484375        |1.631654676   
9     |4.987988281   |5.037988281   |0.0001442813873    |0.001443109512     |4.945117188   |5.080859375   |0.1357421875       |1.461619348   
call to function: 18


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |8.9975        |9.0025        |15.98000625        |16.02000625        |-2            |20            |22                 |1.999545558   
2     |3.49875       |3.50375       |2.253751563        |2.238764063        |-2            |9.0025        |11.0025            |1.999091529   
3     |6.248125      |6.253125      |1.557816016        |1.570322266        |3.49875       |9.0025        |5.50375            |1.998184706   
4     |4.8734375     |4.8784375     |0.01601806641      |0.01477744141      |3.49875       |6.253125      |2.754375           |1.996375991   
5     |5.56078125    |5.56578125    |0.3144756104       |0.3201084229       |4.8734375     |6.253125      |1.3796875          |1.992778154   
6     |5.217109375   |5.222109375   |0.04713648071      |0.04933257446      |4.8734375     |5.56578125    |0.69234375         |1.98565987    
7     |5.045273437   |5.050273438   |0.002049684143     |0.002527418518     |4.8734375     |5.222109375   |0.348671875        |1.971725204   
8     |4.959355469   |4.964355469   |0.001651977921     |0.001270532608     |4.8734375     |5.050273438   |0.1768359375       |1.945005371   
9     |5.002314453   |5.007314453   |5.356693268e-06    |5.350122452e-05    |4.959355469   |5.050273438   |0.09091796875      |1.895744248   
10    |4.980834961   |4.985834961   |0.0003672987223    |0.0002006483316    |4.959355469   |5.007314453   |0.04795898438      |1.811174627   
11    |4.991574707   |4.996574707   |7.098556161e-05    |1.173263192e-05    |4.980834961   |5.007314453   |0.02647949219      |1.682332868   
12    |4.99694458    |5.00194458    |9.335590899e-06    |3.78139168e-06     |4.991574707   |5.007314453   |0.01573974609      |1.51783402    
13    |4.999629517   |5.004629517   |1.372579485e-07    |2.143242396e-05    |4.99694458    |5.007314453   |0.01036987305      |1.349376539   
call to function: 26


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |8.99975       |9.00025       |15.99800006        |16.00200006        |-2            |20            |22                 |1.999954546   
2     |3.499875      |3.500375      |2.250375016        |2.248875141        |-2            |9.00025       |11.00025           |1.999909097   
3     |6.2498125     |6.2503125     |1.562031285        |1.563281348        |3.499875      |9.00025       |5.500375           |1.999818211   
4     |4.87484375    |4.87534375    |0.01566408691      |0.01553918066      |3.499875      |6.2503125     |2.7504375          |1.999636488   
5     |5.562328125   |5.562828125   |0.3162129202       |0.3167754983       |4.87484375    |6.2503125     |1.37546875         |1.999273239   
6     |5.218585937   |5.219085938   |0.04777981207      |0.04799864801      |4.87484375    |5.562828125   |0.687984375        |1.998547534   
7     |5.046714844   |5.047214844   |0.002182276627     |0.00222924147      |4.87484375    |5.219085938   |0.3442421875       |1.997099282   
8     |4.960779297   |4.961279297   |0.001538263554     |0.00149929285      |4.87484375    |5.047214844   |0.1723710938       |1.994215343   
9     |5.00374707    |5.00424707    |1.404053593e-05    |1.803760624e-05    |4.960779297   |5.047214844   |0.08643554688      |1.988497225   
10    |4.982263184   |4.982763184   |0.0003145946562    |0.0002971078398    |4.960779297   |5.00424707    |0.04346777344      |1.977256069   
11    |4.993005127   |4.993505127   |4.892824894e-05    |4.21833759e-05     |4.982263184   |5.00424707    |0.02198388672      |1.955523704   
12    |4.998376099   |4.998876099   |2.63705565e-06     |1.263154283e-06    |4.993005127   |5.00424707    |0.01124194336      |1.914835222   
13    |5.001061584   |5.001561584   |1.126961593e-06    |2.438546065e-06    |4.998376099   |5.00424707    |0.00587097168      |1.843038072   
14    |4.999718842   |5.000218842   |7.905007247e-08    |4.78916252e-08     |4.998376099   |5.001561584   |0.00318548584      |1.728665353   
15    |5.000390213   |5.000890213   |1.522661953e-07    |7.92479208e-07     |4.999718842   |5.001561584   |0.00184274292      |1.573149921   
16    |5.000054527   |5.000554527   |2.97322456e-09     |3.075005073e-07    |4.999718842   |5.000890213   |0.00117137146      |1.401688958   
call to function: 32


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |8.999975      |9.000025      |15.9998            |16.0002            |-2            |20            |22                 |1.999995455   
2     |3.4999875     |3.5000375     |2.2500375          |2.249887501        |-2            |9.000025      |11.000025          |1.999990909   
3     |6.24998125    |6.25003125    |1.562453125        |1.562578126        |3.4999875     |9.000025      |5.5000375          |1.999981818   
4     |4.874984375   |4.875034375   |0.01562890649      |0.01561640743      |3.4999875     |6.25003125    |2.75004375         |1.999963638   
