iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |6.403433476   |6.403433476   |1.969625523        |1.969625523        |-2            |11.59656652   |13.59656652        |1.618055556   
2     |3.193133047   |6.403433476   |3.264768185        |1.969625523        |-2            |6.403433476   |8.403433476        |1.617977528   
3     |6.403433476   |8.386266094   |1.969625523        |11.46679806        |3.193133047   |6.403433476   |3.210300429        |2.617647059   
4     |5.175965665   |6.403433476   |0.03096391534      |1.969625523        |3.193133047   |8.386266094   |5.193133047        |0.6181818182  
5     |4.420600858   |5.175965665   |0.3357033653       |0.03096391534      |3.193133047   |6.403433476   |3.210300429        |1.617647059   
6     |5.175965665   |5.64806867    |0.03096391534      |0.4199930004       |4.420600858   |6.403433476   |1.982832618        |1.619047619   
7     |4.892703863   |5.175965665   |0.01151246109      |0.03096391534      |4.420600858   |5.64806867    |1.227467811        |1.615384615   
8     |4.703862661   |4.892703863   |0.08769732358      |0.01151246109      |4.420600858   |5.175965665   |0.7553648069       |1.625         
9     |4.892703863   |4.987124464   |0.01151246109      |0.0001657794397    |4.703862661   |5.175965665   |0.4721030043       |1.6           
10    |4.987124464   |5.081545064   |0.0001657794397    |0.006649597524     |4.892703863   |5.175965665   |0.2832618026       |1.666666667   
11    |4.987124464   |4.987124464   |0.0001657794397    |0.0001657794397    |4.892703863   |5.081545064   |0.1888412017       |1.5           
12    |4.987124464   |4.987124464   |0.0001657794397    |0.0001657794397    |4.892703863   |4.987124464   |0.09442060086      |2             
call to function: 14


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |6.403250774   |6.403250774   |1.969112735        |1.969112735        |-2            |11.59674923   |13.59674923        |1.618033813   
2     |3.193498452   |6.403250774   |3.263447843        |1.969112735        |-2            |6.403250774   |8.403250774        |1.618034448   
3     |6.403250774   |8.386996904   |1.969112735        |11.47174803        |3.193498452   |6.403250774   |3.209752322        |2.618037135   
4     |5.177244582   |6.403250774   |0.03141564186      |1.969112735        |3.193498452   |8.386996904   |5.193498452        |0.6180327869  
5     |4.419504644   |5.177244582   |0.3369748584       |0.03141564186      |3.193498452   |6.403250774   |3.209752322        |1.618037135   
6     |5.177244582   |5.645510836   |0.03141564186      |0.4166842393       |4.419504644   |6.403250774   |1.98374613         |1.618025751   
7     |4.887770898   |5.177244582   |0.01259537137      |0.03141564186      |4.419504644   |5.645510836   |1.226006192        |1.618055556   
8     |4.708978328   |4.887770898   |0.08469361347      |0.01259537137      |4.419504644   |5.177244582   |0.7577399381       |1.617977528   
9     |4.887770898   |4.998452012   |0.01259537137      |2.39626566e-06     |4.708978328   |5.177244582   |0.4682662539       |1.618181818   
10    |4.998452012   |5.066563467   |2.39626566e-06     |0.004430695205     |4.887770898   |5.177244582   |0.2894736842       |1.617647059   
11    |4.955882353   |4.998452012   |0.001946366782     |2.39626566e-06     |4.887770898   |5.066563467   |0.1787925697       |1.619047619   
12    |4.998452012   |5.023993808   |2.39626566e-06     |0.0005757028247    |4.955882353   |5.066563467   |0.1106811146       |1.615384615   
13    |4.981424149   |4.998452012   |0.000345062255     |2.39626566e-06     |4.955882353   |5.023993808   |0.06811145511      |1.625         
14    |4.998452012   |5.006965944   |2.39626566e-06     |4.852437961e-05    |4.981424149   |5.023993808   |0.04256965944      |1.6           
15    |4.98993808    |4.998452012   |0.0001012422241    |2.39626566e-06     |4.981424149   |5.006965944   |0.02554179567      |1.666666667   
16    |4.998452012   |4.998452012   |2.39626566e-06     |2.39626566e-06     |4.98993808    |5.006965944   |0.01702786378      |1.5           
17    |4.998452012   |4.998452012   |2.39626566e-06     |2.39626566e-06     |4.98993808    |4.998452012   |0.008513931889     |2             
call to function: 19


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |6.403252259   |6.403252259   |1.969116904        |1.969116904        |-2            |11.59674774   |13.59674774        |1.61803399    
2     |3.193495481   |6.403252259   |3.263458577        |1.969116904        |-2            |6.403252259   |8.403252259        |1.618033985   
