iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |3.193495505   |6.403252248   |3.26345849         |1.96911687         |-2            |20            |22                 |1.618033989   
2     |6.403252248   |8.38699101    |1.96911687         |11.4717081         |-2            |11.59674775   |13.59674775        |1.618033989   
3     |5.177234267   |6.403252248   |0.03141198557      |1.96911687         |3.193495505   |11.59674775   |8.403252248        |1.618033989   
4     |4.419513485   |5.177234267   |0.3369645941       |0.03141198557      |3.193495505   |8.38699101    |5.193495505        |1.618033989   
5     |5.177234267   |5.645531465   |0.03141198557      |0.4167108723       |3.193495505   |6.403252248   |3.209756743        |1.618033989   
6     |4.887810683   |5.177234267   |0.01258644295      |0.03141198557      |4.419513485   |6.403252248   |1.983738762        |1.618033989   
7     |4.70893707    |4.887810683   |0.08471762926      |0.01258644295      |4.419513485   |5.645531465   |1.22601798         |1.618033989   
8     |4.887810683   |4.998360655   |0.01258644295      |2.687452499e-06    |4.419513485   |5.177234267   |0.7577207825       |1.618033989   
9     |4.998360655   |5.066684295   |2.687452499e-06    |0.004446795225     |4.70893707    |5.177234267   |0.4682971975       |1.618033989   
10    |4.956134323   |4.998360655   |0.001924197628     |2.687452499e-06    |4.887810683   |5.177234267   |0.2894235849       |1.618033989   
11    |4.998360655   |5.024457963   |2.687452499e-06    |0.0005981919653    |4.887810683   |5.066684295   |0.1788736126       |1.618033989   
12    |4.982231631   |4.998360655   |0.0003157149274    |2.687452499e-06    |4.956134323   |5.066684295   |0.1105499723       |1.618033989   
call to function: 14


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |3.193495505   |6.403252248   |3.26345849         |1.96911687         |-2            |20            |22                 |1.618033989   
2     |6.403252248   |8.38699101    |1.96911687         |11.4717081         |-2            |11.59674775   |13.59674775        |1.618033989   
3     |5.177234267   |6.403252248   |0.03141198557      |1.96911687         |3.193495505   |11.59674775   |8.403252248        |1.618033989   
4     |4.419513485   |5.177234267   |0.3369645941       |0.03141198557      |3.193495505   |8.38699101    |5.193495505        |1.618033989   
5     |5.177234267   |5.645531465   |0.03141198557      |0.4167108723       |3.193495505   |6.403252248   |3.209756743        |1.618033989   
6     |4.887810683   |5.177234267   |0.01258644295      |0.03141198557      |4.419513485   |6.403252248   |1.983738762        |1.618033989   
7     |4.70893707    |4.887810683   |0.08471762926      |0.01258644295      |4.419513485   |5.645531465   |1.22601798         |1.618033989   
8     |4.887810683   |4.998360655   |0.01258644295      |2.687452499e-06    |4.419513485   |5.177234267   |0.7577207825       |1.618033989   
9     |4.998360655   |5.066684295   |2.687452499e-06    |0.004446795225     |4.70893707    |5.177234267   |0.4682971975       |1.618033989   
10    |4.956134323   |4.998360655   |0.001924197628     |2.687452499e-06    |4.887810683   |5.177234267   |0.2894235849       |1.618033989   
11    |4.998360655   |5.024457963   |2.687452499e-06    |0.0005981919653    |4.887810683   |5.066684295   |0.1788736126       |1.618033989   
12    |4.982231631   |4.998360655   |0.0003157149274    |2.687452499e-06    |4.956134323   |5.066684295   |0.1105499723       |1.618033989   
13    |4.998360655   |5.00832894    |2.687452499e-06    |6.937123552e-05    |4.956134323   |5.024457963   |0.06832364033      |1.618033989   
14    |4.992199916   |4.998360655   |6.084130961e-05    |2.687452499e-06    |4.982231631   |5.024457963   |0.04222633196      |1.618033989   
15    |4.998360655   |5.002168201   |2.687452499e-06    |4.701094858e-06    |4.982231631   |5.00832894    |0.02609730837      |1.618033989   
16    |4.996007462   |4.998360655   |1.594035945e-05    |2.687452499e-06    |4.992199916   |5.00832894    |0.01612902359      |1.618033989   
call to function: 18


iter  |x1            |x2            |f1                 |f2                 |a_i           |b_i           |b_i - a_i          |(b_prev - a_prev)/(b - a)
--------------------------------------------------------------------------------------------------------------------------------------------------------
1     |3.193495505   |6.403252248   |3.26345849         |1.96911687         |-2            |20            |22                 |1.618033989   
2     |6.403252248   |8.38699101    |1.96911687         |11.4717081         |-2            |11.59674775   |13.59674775        |1.618033989   
3     |5.177234267   |6.403252248   |0.03141198557      |1.96911687         |3.193495505   |11.59674775   |8.403252248        |1.618033989   
4     |4.419513485   |5.177234267   |0.3369645941       |0.03141198557      |3.193495505   |8.38699101    |5.193495505        |1.618033989   
5     |5.177234267   |5.645531465   |0.03141198557      |0.4167108723       |3.193495505   |6.403252248   |3.209756743        |1.618033989   
6     |4.887810683   |5.177234267   |0.01258644295      |0.03141198557      |4.419513485   |6.403252248   |1.983738762        |1.618033989   
7     |4.70893707    |4.887810683   |0.08471762926      |0.01258644295      |4.419513485   |5.645531465   |1.22601798         |1.618033989   
8     |4.887810683   |4.998360655   |0.01258644295      |2.687452499e-06    |4.419513485   |5.177234267   |0.7577207825       |1.618033989   
9     |4.998360655   |5.066684295   |2.687452499e-06    |0.004446795225     |4.70893707    |5.177234267   |0.4682971975       |1.618033989   
10    |4.956134323   |4.998360655   |0.001924197628     |2.687452499e-06    |4.887810683   |5.177234267   |0.2894235849       |1.618033989   
11    |4.998360655   |5.024457963   |2.687452499e-06    |0.0005981919653    |4.887810683   |5.066684295   |0.1788736126       |1.618033989   
12    |4.982231631   |4.998360655   |0.0003157149274    |2.687452499e-06    |4.956134323   |5.066684295   |0.1105499723       |1.618033989   
13    |4.998360655   |5.00832894    |2.687452499e-06    |6.937123552e-05    |4.956134323   |5.024457963   |0.06832364033      |1.618033989   
14    |4.992199916   |4.998360655   |6.084130961e-05    |2.687452499e-06    |4.982231631   |5.024457963   |0.04222633196      |1.618033989   
15    |4.998360655   |5.002168201   |2.687452499e-06    |4.701094858e-06    |4.982231631   |5.00832894    |0.02609730837      |1.618033989   
16    |4.996007462   |4.998360655   |1.594035945e-05    |2.687452499e-06    |4.992199916   |5.00832894    |0.01612902359      |1.618033989   
17    |4.998360655   |4.999815008   |2.687452499e-06    |3.422203773e-08    |4.992199916   |5.002168201   |0.009968284783     |1.618033989   
18    |4.999815008   |5.000713848   |3.422203773e-08    |5.095785167e-07    |4.996007462   |5.002168201   |0.006160738806     |1.618033989   
19    |4.999259495   |4.999815008   |5.483483441e-07    |3.422203773e-08    |4.998360655   |5.002168201   |0.003807545978     |1.618033989   
