x              f(x)           
3.0000005      3.999998       
3.0000015      3.999994       
3.0000035      3.999986       
3.0000075      3.99997        
3.0000155      3.999938       
3.0000315      3.999874001    
3.0000635      3.999746004    
3.0001275      3.999490016    
3.0002555      3.998978065    
3.0005115      3.997954262    
3.0010235      3.995907048    
3.0020475      3.991814192    
3.0040955      3.983634773    
3.0081915      3.967301101    
3.0163835      3.934734419    
3.0327675      3.870003709    
3.0655355      3.742152902    
3.1310715      3.492893738    
3.2621435      3.020145215    
3.5242875      2.177727383    
4.0485755      0.9052085792   
5.0971515      0.009438413952 
7.1943035      4.81496785     
Interval with a minimum of a function: [4.0485755, 7.1943035]

x              f(x)           
3.00000005     3.9999998      
3.00000015     3.9999994      
3.00000035     3.9999986      
3.00000075     3.999997       
3.00000155     3.9999938      
3.00000315     3.9999874      
3.00000635     3.9999746      
3.00001275     3.999949       
3.00002555     3.999897801    
3.00005115     3.999795403    
3.00010235     3.99959061     
3.00020475     3.999181042    
3.00040955     3.998361968    
3.00081915     3.996724071    
3.00163835     3.993449284    
3.00327675     3.986903737    
3.00655355     3.973828749    
3.01310715     3.947743197    
3.02621435     3.895829792    
3.05242875     3.793033774    
3.10485755     3.591564906    
3.20971515     3.205119844    
3.41943035     2.498200419    
3.83886075     1.348244358    
4.67772155     0.1038633993   
6.35544315     1.837226133    
Interval with a minimum of a function: [3.83886075, 6.35544315]

